Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Ô_CLS_CLASSIFICAÇÃO_SOLIBRI
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1707217;37. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxjA2;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - VENTILADOR AXIAL (355):VHF 9 0355:1731059;RSV;;Ø350mm;ROG_VENT_EXAUSTOR AXIAL;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2OnYrqe1X3QuOz78Gf6mzF;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - VENTILADOR AXIAL (355):VHF 9 0355:1735307;RSV;;"Ø350

Ø350

Ø350mm";ROG_VENT_EXAUSTOR AXIAL;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2OnYrqe1X3QuOz78Gf6nmt;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746292;07. TGD;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbFBq;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746477;07. TGD;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF6j;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746494;07. TGD;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF6_;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746514;07. TGD;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7I;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746522;08. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7Q;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746527;08. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7V;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746532;08. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7a;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746537;08. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7f;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746551;09. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7t;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746556;09. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF7y;Bombas de recalque, de drenagem pluvial
